label,corr_thresh,vol_thresh,base_bil,guard_bil,mode,sharpe,return,vol,mdd,calmar,triple,months_guard_active,pct_guard_active
CG_corr-0.15_vol0.18_base0.08_guard0.35_corr_only,-0.15,0.18,0.08,0.35,corr_only,0.965275262414941,0.08416479356947133,0.08719253133961655,-0.11136168514104036,0.7557787354140343,False,53,0.4649122807017544
CG_corr-0.15_vol0.18_base0.08_guard0.40_either,-0.15,0.18,0.08,0.4,either,1.0184263627822856,0.08424418605823451,0.08271995810093129,-0.0957726604947833,0.8796266661384359,False,57,0.5
CG_corr-0.15_vol0.18_base0.08_guard0.40_corr_only,-0.15,0.18,0.08,0.4,corr_only,1.0067686717764919,0.08563175785032463,0.08505604142332247,-0.1043547572366382,0.8205831733779353,False,53,0.4649122807017544
CG_corr-0.15_vol0.18_base0.10_guard0.25_either,-0.15,0.18,0.1,0.25,either,0.8993031116251372,0.08065690770825064,0.08968823377303227,-0.10410895350983619,0.7747355533703467,False,57,0.5
CG_corr-0.15_vol0.18_base0.10_guard0.25_corr_only,-0.15,0.18,0.1,0.25,corr_only,0.8848751067668433,0.08053453269526657,0.09101231583915119,-0.11748180469312168,0.6855064314481177,False,53,0.4649122807017544
CG_corr-0.15_vol0.18_base0.10_guard0.30_either,-0.15,0.18,0.1,0.3,either,0.9552124793186676,0.08298837382322567,0.08687949081488078,-0.0969292747513038,0.8561745049279799,False,57,0.5
CG_corr-0.15_vol0.18_base0.10_guard0.30_corr_only,-0.15,0.18,0.1,0.3,corr_only,0.9396563708407449,0.08316454333458972,0.08850527268833325,-0.11193646554541407,0.7429620269799281,False,53,0.4649122807017544
CG_corr-0.15_vol0.18_base0.10_guard0.35_either,-0.15,0.18,0.1,0.35,either,0.9706347646950738,0.08194578991113599,0.08442494838610007,-0.09382972589839966,0.8733457241457596,False,57,0.5
CG_corr-0.15_vol0.18_base0.10_guard0.35_corr_only,-0.15,0.18,0.1,0.35,corr_only,0.9618778991968601,0.08308557876055171,0.08637850898739408,-0.11039693932886163,0.7526076290308007,False,53,0.4649122807017544
CG_corr-0.15_vol0.18_base0.10_guard0.40_either,-0.15,0.18,0.1,0.4,either,1.012936988935177,0.08315234432655053,0.08209034247427593,-0.0944708301908127,0.8801906806428922,False,57,0.5
CG_corr-0.15_vol0.18_base0.10_guard0.40_corr_only,-0.15,0.18,0.1,0.4,corr_only,1.0032983803643885,0.08454817095709599,0.08427021573222204,-0.10337590325257186,0.8178711701364751,False,53,0.4649122807017544
CG_corr-0.15_vol0.20_base0.05_guard0.25_either,-0.15,0.2,0.05,0.25,either,0.8836453258823793,0.08102103143911067,0.09168953772058458,-0.11989160183910623,0.675785711394868,False,56,0.49122807017543857
CG_corr-0.15_vol0.20_base0.05_guard0.25_corr_only,-0.15,0.2,0.05,0.25,corr_only,0.8975336306296552,0.08311410127062756,0.09260277100961636,-0.11989160183910628,0.6932437301335428,False,53,0.4649122807017544
CG_corr-0.15_vol0.20_base0.05_guard0.30_either,-0.15,0.2,0.05,0.3,either,0.9407466530482798,0.08398437179089169,0.08927416485486189,-0.11434754338422191,0.7344659037290708,False,56,0.49122807017543857
CG_corr-0.15_vol0.20_base0.05_guard0.30_corr_only,-0.15,0.2,0.05,0.3,corr_only,0.9582138687559131,0.08661180920606755,0.09038880779143708,-0.11434754338422178,0.7574435500992028,False,53,0.4649122807017544
