corr_thresh,base_bil,overlay_mods,sharpe,return,mdd,triple,guard_months
0.25,0.0,v5_mods,0.8887271226720271,0.09702397416667688,-0.1316986547611451,False,14
0.25,0.0,s7_aggressive,0.8723846974279077,0.08963944018424291,-0.1409603573756606,False,14
0.25,0.0,stop_tight,0.9574496711446012,0.09277146907338879,-0.1361922492259846,False,14
0.25,0.0,vol_low,0.8548762284280164,0.08355197826865396,-0.13949214386548217,False,14
0.25,0.0,s7+stop,1.0157263913951005,0.10334143974487815,-0.12424189536749534,False,14
0.25,0.03,none,0.8786770471131161,0.08638401548004251,-0.1364880554382808,False,14
0.25,0.03,v5_mods,0.8906362794129827,0.0950708962647815,-0.12808016283113327,False,14
0.25,0.03,s7_aggressive,0.8548534127249142,0.08620832504965498,-0.13803328289553754,False,14
0.25,0.03,stop_tight,0.9633139344745063,0.0915921081981307,-0.13441804788359732,False,14
0.25,0.03,vol_low,0.8557260076282588,0.08171769437716839,-0.13702016422906105,False,14
0.25,0.03,s7+stop,1.0025382888399543,0.1000655804247518,-0.12172014437423918,False,14
0.25,0.05,none,0.904865374618191,0.087910652145923,-0.13358271538566924,False,14
0.25,0.05,v5_mods,0.9189343199984628,0.09621536556678792,-0.12566468074771847,False,14
0.25,0.05,s7_aggressive,0.8754344486448293,0.08660429222208918,-0.13721587296292292,False,14
0.25,0.05,stop_tight,0.9959579141340823,0.09303012891638893,-0.1299515825437637,False,14
0.25,0.05,vol_low,0.884802454342324,0.0830930506090786,-0.13423456140711218,False,14
0.25,0.05,s7+stop,1.0220772800022238,0.10023289572668165,-0.12003779514267171,False,14
0.25,0.08,none,0.8970550962212394,0.08581527236324096,-0.13105518969174162,False,14
0.25,0.08,v5_mods,0.932312605273824,0.09457926760246207,-0.1279442798481152,False,14
0.25,0.08,s7_aggressive,0.853592483684249,0.08289646953507172,-0.13471916615520066,False,14
